model,task,run,pass,latency_s,input_tokens,output_tokens,cost,diff_lines,pi_status
anthropic/claude-haiku-4-5,python-median,1,1,22,68712,1526,0.033686,14,0
anthropic/claude-haiku-4-5,python-median,2,1,29,80997,1810,0.038170,12,0
anthropic/claude-haiku-4-5,python-median,3,1,18,51542,1403,0.030788,14,0
anthropic/claude-haiku-4-5,ts-duration,1,1,20,62522,1688,0.035011,21,0
anthropic/claude-haiku-4-5,ts-duration,2,1,21,62762,1804,0.035767,22,0
anthropic/claude-haiku-4-5,ts-duration,3,1,21,62656,1671,0.035013,22,0
anthropic/claude-haiku-4-5,shell-wordfreq,1,1,54,181387,4010,0.064080,30,0
anthropic/claude-haiku-4-5,shell-wordfreq,2,1,50,171190,3831,0.061343,31,0
anthropic/claude-haiku-4-5,shell-wordfreq,3,1,54,199182,3668,0.065874,22,0
anthropic/claude-haiku-4-5,adversarial-config,1,0,28,70031,1833,0.036447,39,0
anthropic/claude-haiku-4-5,adversarial-config,2,0,25,69774,1825,0.036067,36,0
anthropic/claude-haiku-4-5,adversarial-config,3,0,23,69745,1833,0.036045,33,0
anthropic/claude-sonnet-5,python-median,1,1,30,95943,2359,0.096061,11,0
anthropic/claude-sonnet-5,python-median,2,1,26,96640,2251,0.086258,11,0
anthropic/claude-sonnet-5,python-median,3,1,24,71748,1872,0.075199,11,0
anthropic/claude-sonnet-5,ts-duration,1,1,35,117516,3051,0.104871,16,0
anthropic/claude-sonnet-5,ts-duration,2,1,21,69918,1828,0.073929,16,0
anthropic/claude-sonnet-5,ts-duration,3,1,24,83365,2167,0.080947,14,0
anthropic/claude-sonnet-5,shell-wordfreq,1,1,16,52909,1304,0.057019,24,0
anthropic/claude-sonnet-5,shell-wordfreq,2,1,22,64252,1235,0.058932,28,0
anthropic/claude-sonnet-5,shell-wordfreq,3,1,319,52835,1205,0.028666,24,0
anthropic/claude-sonnet-5,adversarial-config,1,1,18,40256,1234,0.050160,0,0
anthropic/claude-sonnet-5,adversarial-config,2,1,33,40292,1250,0.050437,0,0
anthropic/claude-sonnet-5,adversarial-config,3,1,12,29863,921,0.044328,0,0
anthropic/claude-opus-5,python-median,1,1,339,91481,2037,0.235048,11,0
anthropic/claude-opus-5,python-median,2,1,30,77380,1969,0.202187,11,0
anthropic/claude-opus-5,python-median,3,1,38,66238,1824,0.171350,11,0
anthropic/claude-opus-5,ts-duration,1,1,55,80554,2653,0.231391,21,0
anthropic/claude-opus-5,ts-duration,2,1,145,80554,2601,0.229939,20,0
anthropic/claude-opus-5,ts-duration,3,1,33,79122,2277,0.216259,16,0
anthropic/claude-opus-5,shell-wordfreq,1,1,95,191425,6916,0.415362,36,0
anthropic/claude-opus-5,shell-wordfreq,2,1,43,75927,2911,0.219834,26,0
anthropic/claude-opus-5,shell-wordfreq,3,1,53,64899,3453,0.206837,35,0
anthropic/claude-opus-5,adversarial-config,1,1,23,30321,1526,0.129223,0,0
anthropic/claude-opus-5,adversarial-config,2,1,31,59859,1941,0.177280,0,0
anthropic/claude-opus-5,adversarial-config,3,1,35,59907,2108,0.182164,0,0
openai-codex/gpt-5.6-terra,python-median,1,1,18,17400,466,0.021038,14,0
openai-codex/gpt-5.6-terra,python-median,2,1,19,17593,461,0.019521,12,0
openai-codex/gpt-5.6-terra,python-median,3,1,29,22441,583,0.024230,12,0
openai-codex/gpt-5.6-terra,ts-duration,1,1,21,18535,675,0.023973,24,0
openai-codex/gpt-5.6-terra,ts-duration,2,1,20,17998,654,0.022647,17,0
openai-codex/gpt-5.6-terra,ts-duration,3,1,21,22613,634,0.025186,23,0
openai-codex/gpt-5.6-terra,shell-wordfreq,1,1,39,25020,1653,0.040385,28,0
openai-codex/gpt-5.6-terra,shell-wordfreq,2,1,34,29002,1296,0.035770,18,0
openai-codex/gpt-5.6-terra,shell-wordfreq,3,1,26,18892,1012,0.028731,25,0
openai-codex/gpt-5.6-terra,adversarial-config,1,1,12,7464,283,0.013716,0,0
openai-codex/gpt-5.6-terra,adversarial-config,2,1,11,7394,294,0.013708,0,0
openai-codex/gpt-5.6-terra,adversarial-config,3,1,11,7419,294,0.018366,0,0
