model,role,task,run,found,total,false_positives,latency_s,input_tokens,output_tokens,cost,pi_status,thinking,minor_found,minor_total
anthropic/claude-haiku-4-5,taste,taste-defects,1,2,4,0,13,32253,680,0.023125,0,high,0,0
anthropic/claude-haiku-4-5,taste,taste-defects,2,3,4,0,17,27943,1023,0.027520,0,high,0,0
anthropic/claude-haiku-4-5,taste,taste-defects,3,4,4,1,12,15995,779,0.021701,0,high,0,0
anthropic/claude-haiku-4-5,taste,taste-clean,1,0,0,0,13,40685,802,0.024583,0,high,0,0
anthropic/claude-haiku-4-5,taste,taste-clean,2,0,0,0,12,33474,723,0.024032,0,high,0,0
anthropic/claude-haiku-4-5,taste,taste-clean,3,0,0,0,9,24248,591,0.021474,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-defects,1,3,4,0,18,49629,1218,0.028361,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-defects,2,3,4,0,27,87013,1730,0.036367,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-defects,3,4,4,0,18,50894,1095,0.027792,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-clean,1,0,0,0,24,69989,1453,0.033664,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-clean,2,0,0,0,19,44760,1453,0.031258,0,high,0,0
anthropic/claude-haiku-4-5,spec,spec-clean,3,0,0,0,13,33504,965,0.025406,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-defects,1,4,4,0,38,44251,2766,0.072522,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-defects,2,4,4,0,53,32238,4743,0.087366,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-defects,3,4,4,0,42,43984,2927,0.073136,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-clean,1,0,0,0,30,42601,2145,0.062969,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-clean,2,0,0,1,31,42499,2276,0.063863,0,high,0,0
anthropic/claude-sonnet-5,taste,taste-clean,3,0,0,1,41,44001,3059,0.075239,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-defects,1,4,4,0,35,44208,3208,0.076804,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-defects,2,4,4,0,41,43122,3802,0.082485,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-defects,3,4,4,0,46,67355,3788,0.087822,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-clean,1,0,0,0,66,104536,5468,0.114231,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-clean,2,0,0,0,49,67526,3916,0.089064,0,high,0,0
anthropic/claude-sonnet-5,spec,spec-clean,3,0,0,0,42,44740,3570,0.081686,0,high,0,0
anthropic/claude-opus-5,taste,taste-defects,1,4,4,0,105,88688,7575,0.355705,0,high,0,0
anthropic/claude-opus-5,taste,taste-defects,2,4,4,0,116,106167,8757,0.400112,0,high,0,0
anthropic/claude-opus-5,taste,taste-defects,3,4,4,0,115,90750,9198,0.401301,0,high,0,0
anthropic/claude-opus-5,taste,taste-clean,1,0,0,1,94,57148,6620,0.292758,0,high,0,0
anthropic/claude-opus-5,taste,taste-clean,2,0,0,1,92,57660,6829,0.302314,0,high,0,0
anthropic/claude-opus-5,taste,taste-clean,3,0,0,2,84,70785,6191,0.296156,0,high,0,0
anthropic/claude-opus-5,spec,spec-defects,1,4,4,0,51,58198,3776,0.225736,0,high,0,0
anthropic/claude-opus-5,spec,spec-defects,2,4,4,0,60,58193,4850,0.252194,0,high,0,0
anthropic/claude-opus-5,spec,spec-defects,3,4,4,0,50,58359,3815,0.227817,0,high,0,0
anthropic/claude-opus-5,spec,spec-clean,1,0,0,0,82,58270,6039,0.282223,0,high,0,0
anthropic/claude-opus-5,spec,spec-clean,2,0,0,0,77,71109,5759,0.289745,0,high,0,0
anthropic/claude-opus-5,spec,spec-clean,3,0,0,0,73,58749,5255,0.263043,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-defects,1,3,4,0,37,17289,1716,0.044111,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-defects,2,3,4,0,33,11802,1416,0.035988,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-defects,3,3,4,0,31,11572,1360,0.028405,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-clean,1,0,0,1,25,10776,760,0.026064,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-clean,2,0,0,1,24,11022,1035,0.023405,0,high,0,0
openai-codex/gpt-5.6-terra,taste,taste-clean,3,0,0,0,24,12649,959,0.030355,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-defects,1,4,4,0,39,16688,1599,0.035054,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-defects,2,4,4,0,35,15732,1327,0.031721,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-defects,3,4,4,0,28,11484,1200,0.030917,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-clean,1,0,0,0,35,15815,1335,0.038434,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-clean,2,0,0,0,39,11934,1461,0.030341,0,high,0,0
openai-codex/gpt-5.6-terra,spec,spec-clean,3,0,0,0,36,16661,1416,0.032804,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-defects,1,3,4,0,79,30295,2116,0.141227,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-defects,2,3,4,0,39,12331,1196,0.097535,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-defects,3,3,4,0,34,11617,1435,0.085007,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-clean,1,0,0,1,50,11415,1620,0.078027,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-clean,2,0,0,0,34,11449,925,0.084995,0,high,0,0
openai-codex/gpt-5.6-sol,taste,taste-clean,3,0,0,0,24,10591,692,0.062195,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-defects,1,4,4,0,56,17017,1989,0.100979,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-defects,2,4,4,0,39,17033,1668,0.091429,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-defects,3,4,4,0,58,17252,2063,0.127414,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-clean,1,0,0,0,55,20816,1696,0.118096,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-clean,2,0,0,0,44,17563,1813,0.093821,0,high,0,0
openai-codex/gpt-5.6-sol,spec,spec-clean,3,0,0,0,41,17142,1457,0.085644,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-defects,1,3,4,0,34,11630,1511,0.003678,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-defects,2,3,4,0,46,23409,2139,0.005313,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-defects,3,3,4,0,58,18534,2714,0.005858,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-clean,1,0,0,1,33,15606,1144,0.003572,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-clean,2,0,0,1,33,19094,1419,0.003586,0,high,0,0
openai-codex/gpt-5.6-luna,taste,taste-clean,3,0,0,1,27,17760,1126,0.003152,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-defects,1,4,4,0,34,16672,1417,0.003929,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-defects,2,4,4,0,43,22567,1926,0.004244,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-defects,3,4,4,0,33,17132,1330,0.003916,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-clean,1,0,0,0,28,16051,1205,0.002905,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-clean,2,0,0,0,21,16273,800,0.003109,0,high,0,0
openai-codex/gpt-5.6-luna,spec,spec-clean,3,0,0,0,28,16678,1011,0.002798,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-defects,1,4,4,0,42,27117,1987,0.033709,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-defects,2,4,4,0,49,24543,2638,0.033868,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-defects,3,4,4,0,56,23625,4700,0.041244,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-clean,1,0,0,0,36,6729,3224,0.019289,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-clean,2,0,0,1,71,28757,5602,0.049727,0,high,0,0
ollama-cloud/kimi-k2.6,taste,taste-clean,3,0,0,0,51,6727,5238,0.027343,0,high,0,0
